pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,lifesoaks_time,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc,mapchannels_time,unit_cell_atom
1e37,4.17824,3.10402,2.75508,2.10124,0.412458,21,3.90,3.90,3.10,2.13,0.42,5,7380
1e38,4.15847,3.18592,2.65546,2.12914,0.420157,18,3.70,3.50,2.90,2.16,0.43,6,7380
1ea1,4.85987,4.39304,2.73099,2.11499,0.416278,66,4.50,4.30,2.50,2.07,0.41,20,14220
1elb,4.15899,3.76193,3.02856,2.13675,0.422221,22,3.70,3.70,2.70,2.14,0.42,6,7288
1ele,4.59522,3.46174,2.96078,2.19316,0.437083,23,4.30,4.10,2.70,2.19,0.44,6,7288
1eoa,9.56804,9.56804,9.56804,2.54511,0.514925,369,9.30,9.30,9.30,2.48,0.51,1133,84672
1eob,9.63835,9.63835,9.63835,2.51885,0.509869,384,9.30,9.30,9.30,2.46,0.50,910,84672
1eoc,9.56177,9.56177,9.56177,2.51362,0.508849,361,9.10,9.10,9.10,2.45,0.50,1098,84672
1f7k,6.76608,6.76608,6.76608,3.11239,0.603338,57,6.90,6.90,6.90,2.68,0.54,21,10644
1f7n,6.85965,6.85965,6.85965,3.11239,0.603338,64,7.10,7.10,6.90,2.68,0.54,21,10644
1f7p,6.35641,6.29558,6.29558,2.5449,0.514886,41,6.30,6.10,6.10,2.17,0.43,13,10532
1f7q,6.15886,6.04918,6.04918,2.50534,0.507225,40,6.10,5.90,5.90,2.13,0.42,13,10532
1f9b,8.88921,7.55144,7.55144,2.91066,0.575846,90,8.70,6.90,6.90,2.88,0.57,69,21164
1fdi,11.3553,10.4089,10.4089,2.77438,0.555011,217,10.90,9.90,9.90,2.77,0.56,310,44624
1fdu,28.4085,11.8904,10.7719,4.4972,0.725481,77,28.10,12.30,10.10,3.95,0.69,70,17248
1ga0,3.59925,3.59925,3.354,2.08296,0.407302,40,3.50,3.30,3.30,2.10,0.41,12,11244
1gfz,8.83998,6.74654,6.74654,2.54328,0.514577,288,8.50,6.30,5.30,2.46,0.50,337,53112
1gg8,8.84564,6.71688,6.71688,2.50227,0.506621,287,8.50,6.30,5.30,2.47,0.50,347,54112
1ggf,7.01183,7.01183,5.42121,2.20208,0.439364,239,6.70,5.30,4.90,2.12,0.42,289,45952
1ggn,8.86464,6.74985,6.74985,2.50227,0.506621,302,8.50,6.30,5.50,2.47,0.50,355,54112
1gra,6.0387,6.0387,4.85159,2.73741,0.549001,87,5.70,5.10,4.70,2.65,0.54,27,13996
1gw9,11.5021,7.39072,6.95863,2.71483,0.545251,97,11.70,7.30,6.90,2.70,0.54,78,24232
1gz8,4.83458,3.20743,3.20743,2.03039,0.391955,33,4.30,2.70,1.90,1.98,0.38,8,9392
1h0v,4.63947,3.48938,3.48938,2.069,0.403302,29,4.10,2.70,2.10,2.00,0.39,8,9268
1h0w,5.02365,3.42691,3.42691,2.16849,0.430678,32,4.70,2.90,2.10,2.06,0.40,8,9104
1h22,31.6798,7.62487,7.62487,4.09706,0.69867,143,31.30,7.50,7.30,4.02,0.69,157,25458
1h23,31.5806,7.6461,7.6461,4.13969,0.701773,145,31.90,7.50,7.30,4.05,0.70,163,25428
1hfa,10.9857,8.49768,8.49768,3.067,0.597467,70,10.90,7.30,5.70,2.81,0.56,42,16912
1hg2,11.1951,8.49382,8.49382,3.07929,0.599074,77,11.10,7.30,5.70,2.82,0.56,45,16912
1hg5,10.9977,8.42861,8.42861,3.04245,0.59422,77,10.50,7.10,5.90,2.79,0.56,44,16912
1hl9,13.7033,5.52698,5.52698,2.41142,0.488033,793,13.10,5.50,5.50,2.28,0.46,2309,126522
1hlf,8.82699,6.7993,6.79929,2.51063,0.508264,299,8.50,6.30,5.30,2.48,0.50,345,54112
1hnw,65.1098,26.0911,26.0911,4.66295,0.735239,4124,64.70,25.50,25.50,4.53,0.76,49793,414240
1hnx,65.3752,26.3244,26.3244,4.67753,0.736064,4140,65.10,25.70,25.50,4.55,0.76,45800,414240
1hnz,65.1549,25.9386,25.9386,4.63951,0.733901,4223,65.10,25.30,25.10,4.51,0.76,52373,414240
1hon,4.30311,4.13785,4.13785,2.12556,0.419179,104,3.70,3.70,3.70,2.12,0.42,67,26568
1hoo,4.5195,4.29267,4.29267,2.12556,0.419179,105,3.90,3.90,3.50,2.12,0.42,68,26568
1hop,4.99319,4.55586,4.55586,2.20473,0.440038,121,4.70,4.10,3.70,2.20,0.44,69,26568
1hrv,146.864,146.864,146.864,82.5663,0.985048,453,146.50,146.50,146.50,77.82,0.98,67048,75216
1inv,17.5623,9.49757,9.49757,3.20612,0.614933,92,17.10,9.30,9.30,3.22,0.62,92,24432
1inw,21.5843,17.0632,17.0632,6.87941,0.820542,96,21.10,17.30,17.30,7.11,0.83,318,25000
1inx,21.3994,16.7,16.7,6.61275,0.813305,85,21.10,16.90,16.70,6.84,0.82,244,25000
1iny,13.9061,13.9061,13.9061,2.90451,0.574947,898,15.70,15.70,15.70,3.01,0.59,3632,152640
1ivb,17.0102,9.61856,9.61856,3.19369,0.613435,97,16.30,9.50,9.50,3.20,0.62,88,24432
1ivc,18.0574,11.0566,11.0566,3.22744,0.617478,210,18.90,10.50,10.30,3.42,0.64,427,51184
1ivd,18.0059,10.5543,10.5543,3.22817,0.617565,238,18.50,10.50,10.50,3.42,0.64,418,51184
1ive,18.5271,10.9214,10.9214,3.32522,0.628726,237,18.70,10.50,10.30,3.52,0.65,441,51184
1ivf,17.5338,10.8198,10.8198,3.19709,0.613846,219,18.30,10.30,10.30,3.38,0.64,438,51184
1jdb,16.2066,10.8485,9.61928,3.09332,0.600892,1368,15.90,10.50,9.10,3.05,0.60,5405,176880
1joe,8.9206,5.80636,5.80636,2.61387,0.527686,64,9.10,5.70,5.30,2.31,0.47,41,18320
1jtv,8.16587,7.20197,2.98945,2.66119,0.536085,36,7.90,6.30,2.70,2.31,0.47,9,8496
1k1e,4.97104,4.97104,4.17034,2.26216,0.454253,363,5.10,4.90,3.30,2.18,0.44,605,63172
1k9y,6.0918,3.84521,3.12399,2.12488,0.418995,19,5.50,3.70,2.90,2.11,0.42,4,5476
1k9z,5.96265,4.04658,3.30725,2.11623,0.416619,18,5.50,3.70,3.10,2.10,0.42,4,5476
1ka1,6.12268,3.64668,2.97567,2.13966,0.423008,19,5.50,3.70,2.70,2.12,0.42,4,5476
1kvl,8.63836,5.68127,4.09463,2.54175,0.514285,120,8.10,5.50,3.90,2.55,0.52,60,22476
1kvm,7.99102,5.54906,3.93872,2.51749,0.509603,117,7.70,5.30,3.90,2.51,0.51,63,22376
1lg6,4.29031,4.29031,4.18897,2.28186,0.458963,27,4.10,3.90,3.70,2.25,0.45,8,8196
1lgd,3.95179,3.95179,3.03282,2.15721,0.427703,30,3.70,3.50,3.10,2.13,0.42,7,8196
1ll5,8.34421,5.732,3.67787,2.53678,0.513332,103,8.10,5.70,3.70,2.53,0.51,70,22356
1mav,3.34327,3.09275,3.09275,1.90385,0.351541,12,3.10,2.90,2.90,1.80,0.32,2,3740
1mb0,3.2993,2.91278,2.91278,2.01959,0.388705,14,3.10,2.70,2.70,1.73,0.29,2,3384
1mb3,3.38894,2.97873,2.97873,1.89953,0.350066,15,3.10,2.70,2.70,1.80,0.32,2,3752
1mxi,2.12945,2.12945,2.01862,1.92329,0.358094,38,2.10,2.10,1.90,1.87,0.34,9,10080
1n1l,25.1594,18.0626,18.0626,4.70709,0.737722,288,24.70,17.70,17.70,3.96,0.69,681,49698
1n5i,14.261,3.51112,3.51112,2.54079,0.514101,90,13.50,3.30,3.10,2.47,0.50,52,18660
1n8n,15.3859,8.53701,4.88961,3.38616,0.635408,55,15.10,8.50,4.70,3.34,0.63,31,13144
1n9k,15.3595,8.66397,4.94395,3.40873,0.637822,58,15.10,8.30,4.90,3.37,0.63,31,13144
1ncq,142.551,142.551,142.551,79.0665,0.984386,406,142.10,142.10,142.10,74.53,0.98,44454,75216
1nuv,8.6395,2.76792,2.76792,2.26168,0.454138,66,8.50,2.70,2.50,2.25,0.63,20,12432
1o01,6.15298,5.93159,4.01355,2.19126,0.436596,739,6.10,5.10,3.70,2.17,0.43,1619,121632
1o02,6.24657,5.99431,4.30967,2.19255,0.436926,723,6.10,5.30,3.90,2.17,0.43,1666,121536
1o5e,3.56352,3.39208,2.76869,2.2232,0.444689,17,3.10,3.10,2.50,2.15,0.43,4,5444
1o9t,26.1522,11.4492,11.4492,3.27121,0.622595,193,25.70,11.30,11.30,3.04,0.60,440,45536
1odc,31.8593,7.70467,7.70467,4.08134,0.697509,113,31.50,7.50,7.30,4.00,0.69,184,25458
1odi,9.57765,7.12599,7.12599,2.46877,0.499926,426,9.30,5.90,5.70,2.45,0.50,1119,85728
1odj,9.6601,7.18838,7.18838,2.49868,0.505911,429,9.30,5.70,5.70,2.48,0.51,1172,85728
1odl,9.26503,7.17617,7.17617,2.44284,0.494618,434,8.90,5.70,5.30,2.43,0.49,1100,85728
1odu,15.2594,5.493,5.493,2.73364,0.54838,819,14.90,5.50,5.10,2.58,0.52,2567,126072
1ok9,6.22357,6.09587,6.09587,2.55576,0.516947,16,4.10,3.50,3.50,2.55,0.52,3,3938
1pjc,14.0039,14.0039,14.0039,3.42321,0.639354,298,13.70,13.70,12.50,3.42,0.64,525,48870
1qfl,13.8105,10.38,3.91588,3.09156,0.600666,95,13.90,9.90,6.30,3.09,0.60,72,22528
1qgf,3.75598,3.17073,2.46912,2.05541,0.399357,24,3.50,3.50,2.70,2.08,0.41,5,7372
1qip,5.84059,4.41973,4.41973,2.33158,0.470502,110,5.30,3.90,3.90,2.30,0.47,56,22860
1qps,12.0738,6.82112,6.82112,3.03344,0.593014,63,12.10,6.50,6.50,3.03,0.60,32,13908
1qyv,8.11661,6.30191,2.61866,2.66209,0.536241,35,7.90,5.90,2.50,2.30,0.47,9,8464
1qyw,8.22358,7.81166,2.52247,2.68006,0.53935,37,7.90,7.10,2.30,2.31,0.47,9,8464
1qyx,8.51114,7.29186,3.04618,2.68428,0.540075,39,8.10,6.10,2.70,2.32,0.47,9,8480
1rcj,3.00379,2.40003,2.40003,1.9781,0.375882,26,2.90,2.50,2.10,2.00,0.38,6,8160
1rxo,7.3869,7.28666,7.28666,2.43259,0.492489,790,7.30,7.30,7.30,2.35,0.48,2733,146720
1sn0,5.73288,5.60054,5.60054,2.39901,0.485384,52,5.10,4.90,4.70,2.14,0.42,23,14116
1sn5,5.50202,5.30502,5.30502,2.36436,0.477843,58,4.90,4.70,4.70,2.10,0.42,22,14116
1stg,5.60723,3.89258,3.89258,2.37112,0.479332,17,5.10,3.50,3.50,2.18,0.44,3,4364
1sth,5.21321,3.74002,3.74002,2.29804,0.462774,16,4.70,3.70,3.70,2.12,0.42,3,4364
1tlw,41.6432,14.3016,14.3016,6.69031,0.815469,141,40.90,13.70,13.70,6.01,0.80,269,24756
1tu0,16.321,8.34882,8.34882,2.99394,0.587644,275,16.50,8.10,8.10,2.99,0.59,315,43344
1tug,16.9261,7.68786,7.68786,2.99234,0.587425,239,17.10,7.70,7.50,2.99,0.59,314,43344
1u1x,5.53126,3.54239,3.46629,2.18718,0.435545,71,5.30,3.50,3.30,2.04,0.40,27,16992
1ud5,10.5173,10.5173,10.5173,3.52821,0.650087,162,10.30,10.30,10.30,3.52,0.65,450,46896
1ud6,10.4926,10.4926,10.4926,3.52183,0.649453,182,10.10,10.10,10.10,3.52,0.65,465,46896
1upp,6.85336,6.18373,6.18373,2.2871,0.460205,794,6.90,6.10,6.10,2.26,0.46,2622,150016
1usf,5.15835,4.61591,2.96778,2.21974,0.443824,35,4.90,4.30,3.30,2.22,0.45,12,11216
1ut6,31.7446,7.69035,7.69035,4.06789,0.696509,110,31.30,7.50,7.50,4.02,0.69,186,25428
1uvk,11.191,9.33868,6.86957,3.06528,0.597241,184,10.70,9.70,9.50,3.06,0.60,144,31590
1uvn,11.3032,9.15161,6.66891,2.94381,0.580622,158,10.90,9.30,9.10,2.92,0.58,147,32070
1uzp,6.2791,3.07247,3.07247,2.17961,0.433584,34,6.50,2.70,2.70,2.04,0.40,9,8976
1vsd,6.45383,6.45383,6.45383,2.78017,0.555938,32,6.10,6.10,5.90,2.66,0.54,11,9016
1vsf,6.1052,6.1052,6.1052,2.80218,0.559427,34,5.70,5.70,5.50,2.68,0.54,11,8992
1vsh,6.20939,6.20939,6.20939,2.75918,0.55256,33,5.70,5.70,5.70,2.64,0.54,11,9016
1vsi,6.38132,6.38132,6.38132,2.76503,0.553507,31,6.10,5.90,5.90,2.65,0.54,11,9016
1vsj,6.43946,6.43946,6.43946,2.77873,0.555707,30,5.90,5.90,5.70,2.66,0.54,11,9016
1vz4,23.9767,8.57794,8.57794,3.59003,0.656112,163,23.30,8.50,8.10,3.05,0.60,247,32032
1w2m,45.3326,8.45176,8.45176,4.38628,0.718539,1140,44.90,8.10,6.10,4.37,0.72,10098,167600
1w2z,6.92884,6.9066,6.85317,2.55505,0.516814,237,6.90,6.70,6.50,2.55,0.52,323,41540
1w6m,8.42319,4.06854,4.06854,2.58954,0.523249,30,8.30,3.70,3.70,2.62,0.53,9,8316
1xc6,26.4154,19.2161,19.2161,4.48103,0.72449,137,25.90,18.90,18.70,4.69,0.74,269,31312
1xg3,10.8757,7.85928,7.85928,2.61773,0.528382,200,10.90,7.90,7.30,2.53,0.51,156,34808
1xlm,13.2632,6.25051,5.22047,2.38171,0.481646,224,13.30,5.90,5.10,2.37,0.48,322,48736
1xmt,3.77949,3.42586,2.85992,2.24128,0.449169,7,3.50,3.10,2.70,2.08,0.41,1,1536
1xnj,11.4075,8.692,5.55969,3.17914,0.611666,91,10.50,9.90,5.30,2.90,0.58,92,18396
1xug,9.39382,9.14587,9.14587,2.99452,0.587724,21,8.70,8.70,8.50,2.99,0.59,9,6516
1xuh,4.04617,4.04617,4.04617,2.05378,0.398879,33,4.30,4.30,3.70,2.05,0.40,12,9774
1xuk,8.21419,3.8679,3.8679,2.33296,0.470815,19,7.90,3.70,3.70,2.33,0.47,5,6516
1y30,4.90604,3.09055,2.79087,2.12915,0.42016,12,4.50,2.90,2.50,2.06,0.41,3,4464
1yw1,18.4592,18.4592,18.4592,4.12231,0.700516,139,18.50,18.50,18.50,3.67,0.67,137,24760
1z2b,34.9508,4.61277,4.61277,4.05644,0.695652,590,34.70,4.50,4.30,3.82,0.68,1568,85794
1zgb,31.5707,7.68322,7.68322,4.09387,0.698435,147,31.50,7.70,7.50,4.01,0.69,185,25428
1zgc,12.6648,8.56273,8.56273,3.00327,0.588926,144,12.50,8.70,8.50,2.95,0.58,201,33960
1zqa,5.4805,4.72893,4.08808,2.98457,0.58635,55,5.50,4.70,3.90,2.92,0.58,18,11728
1zqb,5.54693,4.65833,4.00815,2.95672,0.582454,48,5.50,4.50,3.90,2.89,0.58,18,11728
1zqc,5.44623,4.65241,3.96998,2.9478,0.58119,41,5.50,4.70,3.70,2.88,0.58,18,11728
1zqd,5.69859,4.68597,4.22412,2.95655,0.582429,57,5.70,4.50,3.90,2.89,0.58,18,11728
1zqe,5.43769,4.64887,3.9577,2.92697,0.57821,56,5.30,4.50,3.70,2.86,0.58,18,11728
1zqf,5.59236,4.73483,4.0738,2.98435,0.586319,55,5.70,4.70,3.90,2.92,0.58,18,11728
1zqi,5.51623,4.761,4.06566,2.97733,0.585344,45,5.70,4.70,3.90,2.91,0.58,18,11728
1zqj,5.48432,4.649,3.9517,2.94952,0.581434,51,5.50,4.50,3.90,2.88,0.58,18,11728
1zqk,5.49326,4.75571,4.07136,2.97035,0.58437,53,5.50,4.70,3.70,2.90,0.58,19,11728
1zql,5.50378,4.66398,4.1038,2.95317,0.581952,52,5.50,4.50,4.10,2.89,0.58,18,11728
1zqm,5.46514,4.67248,4.15772,2.95761,0.582579,55,5.70,4.70,3.90,2.89,0.58,18,11728
1zqn,5.37139,4.54544,3.97894,2.93723,0.579683,55,5.50,4.50,3.70,2.87,0.58,18,11728
1zqp,5.44992,4.75086,3.97327,2.95448,0.582137,51,5.50,4.70,3.90,2.89,0.58,19,11728
1zqq,5.77952,4.41553,3.94663,2.94549,0.580862,54,5.90,4.30,3.70,2.88,0.58,19,11728
1zqr,5.58538,4.67299,3.91991,2.9542,0.582097,50,5.70,4.50,3.70,2.89,0.58,20,11728
1zqt,5.39468,4.63573,3.86774,2.92491,0.577912,50,5.50,4.50,3.70,2.86,0.58,19,11728
1zqv,3.77367,3.33439,3.11764,2.444,0.494858,33,3.90,3.10,3.10,2.38,0.48,7,7876
1zqz,4.22687,4.22687,3.39291,2.48947,0.504085,32,4.30,3.90,3.30,2.42,0.49,7,7876
2a7p,6.91987,6.91987,6.31933,2.76446,0.553414,97,6.70,6.30,6.10,2.57,0.52,69,22016
2a85,7.33877,7.33877,6.09649,2.72495,0.546939,93,6.90,6.70,5.70,2.53,0.51,63,22016
2b77,8.28482,3.46675,2.51335,2.38915,0.48326,23,8.10,3.10,3.10,2.15,0.43,6,7008
2b9a,8.18609,4.55733,2.13137,2.37877,0.481006,25,7.90,4.10,2.10,2.11,0.42,6,6904
2be9,27.1453,6.44065,6.44065,3.4945,0.646711,266,27.50,6.10,6.10,3.29,0.63,351,42204
2bhp,7.98342,7.98342,6.3636,2.45357,0.496827,466,7.70,7.70,5.90,2.45,0.50,832,72684
2bhq,8.86518,8.86518,6.14799,2.47878,0.501945,5721,8.90,8.70,5.90,2.48,0.50,798,72684
2bja,8.80125,8.80125,5.84663,2.44204,0.494452,445,8.70,8.70,5.30,2.44,0.50,825,72702
2bjk,8.14293,8.14293,6.1407,2.46544,0.49925,451,8.10,7.90,5.70,2.46,0.50,814,72684
2bkn,9.72952,9.72952,9.11442,2.9424,0.580421,41,9.70,9.10,7.70,2.71,0.55,22,11912
2bko,9.7668,9.7668,7.8554,2.89608,0.573711,50,9.50,7.70,7.50,2.68,0.54,20,11984
2bkp,9.66237,9.66237,8.05665,2.87075,0.569949,59,9.50,8.30,7.30,2.69,0.54,22,12144
2bm6,3.24209,3.24209,1.71183,1.94585,0.365538,54,3.10,3.10,1.30,1.88,0.35,12,11000
2bws,48.3132,12.9914,12.9914,4.40105,0.719483,221,48.50,12.50,12.50,4.40,0.72,541,41940
2bwt,27.7323,27.2623,27.2623,5.53085,0.776785,299,27.10,26.90,26.90,5.52,0.78,1233,55920
2bwv,48.3804,12.9388,12.9388,4.41229,0.720198,2916,48.50,12.50,12.50,4.41,0.72,535,41940
2bww,27.7686,27.6764,27.6764,5.56476,0.778146,311,27.30,27.30,27.10,5.56,0.78,1248,55888
2bwx,48.5406,13.1255,13.1255,4.42286,0.720867,173,48.70,12.70,12.50,4.42,0.72,546,41928
2bwy,28.1308,27.8917,27.8917,5.59879,0.779494,315,27.70,27.50,27.30,5.59,0.78,1360,55904
2c4a,15.0234,15.0234,15.0234,2.76556,0.553592,768,14.90,14.90,14.90,2.84,0.57,3365,151344
2c4h,31.0856,8.15455,8.15455,4.09392,0.698439,134,30.70,8.10,8.10,4.09,0.70,190,25680
