pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc
1inx,21.3994,16.7,16.7,6.61275,0.813305,21.10,16.90,16.70,6.84,0.82
1iny,13.9061,13.9061,13.9061,2.90451,0.574947,15.70,15.70,15.70,3.01,0.59
1ivb,17.0102,9.61856,9.61856,3.19369,0.613435,16.30,9.50,9.50,3.20,0.62
1ivc,18.0574,11.0566,11.0566,3.22744,0.617478,18.90,10.50,10.30,3.42,0.64
1ivd,18.0059,10.5543,10.5543,3.22817,0.617565,18.50,10.50,10.50,3.42,0.64
1ive,18.5271,10.9214,10.9214,3.32522,0.628726,18.70,10.50,10.30,3.52,0.65
1ivf,17.5338,10.8198,10.8198,3.19709,0.613846,18.30,10.30,10.30,3.38,0.64
1jdb,16.2066,10.8485,9.61928,3.09332,0.600892,15.90,10.50,9.10,3.05,0.60
1joe,8.9206,5.80636,5.80636,2.61387,0.527686,9.10,5.70,5.30,2.31,0.47
1jtv,8.16587,7.20197,2.98945,2.66119,0.536085,7.90,6.30,2.70,2.31,0.47
1k1e,4.97104,4.97104,4.17034,2.26216,0.454253,5.10,4.90,3.30,2.18,0.44
1k9y,6.09181,3.84521,3.12399,2.12488,0.418995,5.50,3.70,2.90,2.11,0.42
1k9z,5.98717,4.04658,3.30725,2.11623,0.416619,5.50,3.70,3.10,2.10,0.42
1ka1,6.12268,3.64668,2.97567,2.13966,0.423008,5.50,3.70,2.70,2.12,0.42
1kvl,8.63836,5.68127,4.09463,2.54175,0.514285,8.10,5.50,3.90,2.55,0.52
1kvm,7.99102,5.54906,3.93872,2.51749,0.509603,7.70,5.30,3.90,2.51,0.51
1lg6,4.29031,4.29031,4.18897,2.28186,0.458963,4.10,3.90,3.70,2.25,0.45
1lgd,3.95179,3.95179,3.03282,2.15721,0.427703,3.70,3.50,3.10,2.13,0.42
1ll5,8.34421,5.732,3.67787,2.53678,0.513332,8.10,5.70,3.70,2.53,0.51
1mav,3.34327,3.09275,3.09275,1.90385,0.351541,3.10,2.90,2.90,1.80,0.32
1mb0,3.2993,2.91278,2.91277,2.01959,0.388705,3.10,2.70,2.70,1.73,0.29
1mb3,3.38894,2.97873,2.97873,1.89953,0.350066,3.10,2.70,2.70,1.80,0.32
1mxi,2.12945,2.12945,2.01862,1.92329,0.358094,2.10,2.10,1.90,1.87,0.34
1n1l,25.1594,18.0626,18.0626,4.70709,0.737722,24.70,17.70,17.70,3.96,0.69
1n5i,14.261,3.51112,3.51112,2.54079,0.514101,13.50,3.30,3.10,2.47,0.50
1n8n,15.3859,8.53701,4.88961,3.38616,0.635408,15.10,8.50,4.70,3.34,0.63
1n9k,15.3595,8.66397,4.94395,3.40873,0.637822,15.10,8.30,4.90,3.37,0.63
1ncq,142.551,142.551,142.551,79.0665,0.984386,142.10,142.10,142.10,74.53,0.98
1nuv,8.6395,2.76792,2.76792,2.26168,0.454138,8.50,2.70,2.50,2.25,0.63
1o01,6.15298,5.93159,4.01355,2.19126,0.436596,6.10,5.10,3.70,2.17,0.43
1o02,6.24657,5.99431,4.30967,2.19255,0.436926,6.10,5.30,3.90,2.17,0.43
1o5e,3.56352,3.39208,2.76869,2.2232,0.444689,3.10,3.10,2.50,2.15,0.43
1o9t,26.2746,11.4492,11.4492,3.27121,0.622595,25.70,11.30,11.30,3.04,0.60
1odc,31.8593,7.70467,7.70467,4.08134,0.697509,31.50,7.50,7.30,4.00,0.69
1odi,9.57765,7.12599,7.12599,2.46877,0.499926,9.30,5.90,5.70,2.45,0.50
1odj,9.6601,7.18838,7.18838,2.49868,0.505911,9.30,5.70,5.70,2.48,0.51
1odl,9.26503,7.17617,7.17617,2.44284,0.494618,8.90,5.70,5.30,2.43,0.49
1odu,15.2594,5.493,5.493,2.73364,0.54838,14.90,5.50,5.10,2.58,0.52
1ok9,6.22357,6.09587,6.09587,2.55576,0.516947,4.10,3.50,3.50,2.55,0.52
1pjc,14.0039,14.0039,14.0039,3.42321,0.639354,13.70,13.70,12.50,3.42,0.64
1qfl,13.8105,10.38,3.91588,3.09156,0.600666,13.90,9.90,6.30,3.09,0.60
1qgf,3.75598,3.17073,2.46912,2.05541,0.399357,3.50,3.50,2.70,2.08,0.41
1qip,5.84059,4.41973,4.41973,2.33158,0.470502,5.30,3.90,3.90,2.30,0.47
1qps,12.0738,6.82112,6.82112,3.03344,0.593014,12.10,6.50,6.50,3.03,0.60
1qyv,8.11661,6.30191,2.61866,2.66209,0.536241,7.90,5.90,2.50,2.30,0.47
1qyw,8.22358,7.81164,2.52247,2.68006,0.53935,7.90,7.10,2.30,2.31,0.47
1qyx,8.51114,7.29186,3.04618,2.68428,0.540075,8.10,6.10,2.70,2.32,0.47
1rcj,3.00379,2.40003,2.40003,1.9781,0.375882,2.90,2.50,2.10,2.00,0.38
1rxo,7.3869,7.28666,7.28666,2.43259,0.492489,7.30,7.30,7.30,2.35,0.48
1sn0,5.73287,5.60054,5.60054,2.39901,0.485384,5.10,4.90,4.70,2.14,0.42
1sn5,5.50202,5.30502,5.30502,2.36436,0.477843,4.90,4.70,4.70,2.10,0.42
1stg,5.60723,3.89258,3.89258,2.37112,0.479332,5.10,3.50,3.50,2.18,0.44
1sth,5.21321,3.74002,3.74002,2.29804,0.462774,4.70,3.70,3.70,2.12,0.42
1tlw,41.6432,14.3016,14.3016,6.69031,0.815469,40.90,13.70,13.70,6.01,0.80
1tu0,16.321,8.34882,8.34882,2.99394,0.587644,16.50,8.10,8.10,2.99,0.59
1tug,16.9261,7.68786,7.68786,2.99234,0.587425,17.10,7.70,7.50,2.99,0.59
1u1x,5.53126,3.54239,3.46629,2.18718,0.435545,5.30,3.50,3.30,2.04,0.40
1ud5,10.5173,10.5173,10.5173,3.52821,0.650087,10.30,10.30,10.30,3.52,0.65
1ud6,10.4926,10.4926,10.4926,3.52183,0.649453,10.10,10.10,10.10,3.52,0.65
1upp,6.85336,6.18373,6.18373,2.2871,0.460205,6.90,6.10,6.10,2.26,0.46
1usf,5.15835,4.61591,2.96778,2.21974,0.443824,4.90,4.30,3.30,2.22,0.45
1ut6,31.7446,7.69035,7.69035,4.06789,0.696509,31.30,7.50,7.50,4.02,0.69
1uvk,11.191,9.33868,6.86957,3.06528,0.597241,10.70,9.70,9.50,3.06,0.60
1uvn,11.3032,9.15161,6.66891,2.94381,0.580622,10.90,9.30,9.10,2.92,0.58
1uzp,6.2791,3.07247,3.07247,2.17961,0.433584,6.50,2.70,2.70,2.04,0.40
1vsd,6.45383,6.45383,6.45383,2.78017,0.555938,6.10,6.10,5.90,2.66,0.54
1vsf,6.1052,6.1052,6.1052,2.80218,0.559427,5.70,5.70,5.50,2.68,0.54
1vsh,6.20939,6.20939,6.20939,2.75918,0.55256,5.70,5.70,5.70,2.64,0.54
1vsi,6.38132,6.38132,6.38132,2.76503,0.553507,6.10,5.90,5.90,2.65,0.54
1vsj,6.43946,6.43946,6.43946,2.77873,0.555707,5.90,5.90,5.70,2.66,0.54
1vz4,23.9767,8.57794,8.57794,3.59003,0.656112,23.30,8.50,8.10,3.05,0.60
1w2m,45.3327,8.45176,8.45176,4.38628,0.718539,44.90,8.10,6.10,4.37,0.72
1w2z,6.92884,6.9066,6.85317,2.55505,0.516814,6.90,6.70,6.50,2.55,0.52
1w6m,8.42319,4.06854,4.06854,2.58954,0.523249,8.30,3.70,3.70,2.62,0.53
1xc6,26.4154,19.2161,19.2161,4.48103,0.72449,25.90,18.90,18.70,4.69,0.74
1xg3,10.8757,7.85928,7.85928,2.61773,0.528382,10.90,7.90,7.30,2.53,0.51
1xlm,13.2632,6.25051,5.22047,2.38171,0.481646,13.30,5.90,5.10,2.37,0.48
1xmt,3.77949,3.42586,2.8607,2.24128,0.449169,3.50,3.10,2.70,2.08,0.41
1xnj,11.4075,8.692,5.55969,3.17914,0.611666,10.50,9.90,5.30,2.90,0.58
1xug,9.39382,9.14587,9.14587,2.99452,0.587724,8.70,8.70,8.50,2.99,0.59
1xuh,4.04617,4.04617,4.04617,2.05378,0.398879,4.30,4.30,3.70,2.05,0.40
1xuk,8.21419,3.8679,3.8679,2.33296,0.470815,7.90,3.70,3.70,2.33,0.47
1y30,4.90604,3.09055,2.79087,2.12915,0.42016,4.50,2.90,2.50,2.06,0.41
1yw1,18.4592,18.4592,18.4592,4.12231,0.700516,18.50,18.50,18.50,3.67,0.67
1z2b,34.9508,4.61277,4.61277,4.05644,0.695652,34.70,4.50,4.30,3.82,0.68
1zgb,31.5707,7.68322,7.68322,4.09387,0.698435,31.50,7.70,7.50,4.01,0.69
1zgc,12.6648,8.56273,8.56273,3.00327,0.588926,12.50,8.70,8.50,2.95,0.58
1zqa,5.4805,4.72893,4.08808,2.98457,0.58635,5.50,4.70,3.90,2.92,0.58
1zqb,5.54693,4.65833,4.00815,2.95672,0.582454,5.50,4.50,3.90,2.89,0.58
1zqc,5.44623,4.65241,3.96998,2.9478,0.58119,5.50,4.70,3.70,2.88,0.58
1zqd,5.69859,4.68597,4.22412,2.95655,0.582429,5.70,4.50,3.90,2.89,0.58
1zqe,5.43768,4.64887,3.9577,2.92697,0.57821,5.30,4.50,3.70,2.86,0.58
1zqf,5.59236,4.73483,4.0738,2.98435,0.586319,5.70,4.70,3.90,2.92,0.58
1zqi,5.51623,4.761,4.06566,2.97733,0.585344,5.70,4.70,3.90,2.91,0.58
1zqj,5.48432,4.649,3.9517,2.94952,0.581434,5.50,4.50,3.90,2.88,0.58
1zqk,5.49326,4.75571,4.07136,2.97035,0.58437,5.50,4.70,3.70,2.90,0.58
1zql,5.50378,4.66398,4.1038,2.95317,0.581952,5.50,4.50,4.10,2.89,0.58
1zqm,5.46514,4.67248,4.15772,2.95761,0.582579,5.70,4.70,3.90,2.89,0.58
1zqn,5.37139,4.54544,3.97894,2.93723,0.579683,5.50,4.50,3.70,2.87,0.58
1zqp,5.44992,4.75086,3.97327,2.95448,0.582137,5.50,4.70,3.90,2.89,0.58
1zqq,5.77952,4.41553,3.94663,2.94549,0.580862,5.90,4.30,3.70,2.88,0.58
1zqr,5.58538,4.67299,3.91991,2.9542,0.582097,5.70,4.50,3.70,2.89,0.58
1zqt,5.39468,4.63573,3.86774,2.92491,0.577912,5.50,4.50,3.70,2.86,0.58
1zqv,3.77367,3.33439,3.11764,2.444,0.494858,3.90,3.10,3.10,2.38,0.48
1zqz,4.22687,4.22687,3.39291,2.48947,0.504085,4.30,3.90,3.30,2.42,0.49
2a7p,6.91987,6.91987,6.31933,2.76446,0.553414,6.70,6.30,6.10,2.57,0.52
2a85,7.33877,7.33877,6.09649,2.72495,0.546939,6.90,6.70,5.70,2.53,0.51
2b77,8.28482,3.46674,2.51335,2.38915,0.48326,8.10,3.10,3.10,2.15,0.43
2b9a,8.18609,4.55733,2.13137,2.37877,0.481006,7.90,4.10,2.10,2.11,0.42
2be9,27.1453,6.44066,6.44065,3.4945,0.646711,27.50,6.10,6.10,3.29,0.63
2bhp,7.98342,7.98342,6.3636,2.45357,0.496827,7.70,7.70,5.90,2.45,0.50
2bhq,8.86518,8.86518,6.14799,2.47878,0.501945,8.90,8.70,5.90,2.48,0.50
2bja,8.80125,8.80125,5.84663,2.44204,0.494452,8.70,8.70,5.30,2.44,0.50
2bjk,8.14293,8.14293,6.1407,2.46544,0.49925,8.10,7.90,5.70,2.46,0.50
2bkn,9.72952,9.72952,9.11442,2.9424,0.580421,9.70,9.10,7.70,2.71,0.55
2bko,9.7668,9.7668,7.8554,2.89608,0.573711,9.50,7.70,7.50,2.68,0.54
2bkp,9.66237,9.66237,8.05665,2.87075,0.569949,9.50,8.30,7.30,2.69,0.54
2bm6,3.24209,3.24209,1.71183,1.94585,0.365538,3.10,3.10,1.30,1.88,0.35
2bws,48.3132,12.9914,12.9914,4.40105,0.719483,48.50,12.50,12.50,4.40,0.72
2bwt,27.7323,27.2623,27.2623,5.53085,0.776785,27.10,26.90,26.90,5.52,0.78
2bwv,48.3804,12.9388,12.9388,4.41229,0.720198,48.50,12.50,12.50,4.41,0.72
2bww,27.7686,27.6764,27.6764,5.56476,0.778146,27.30,27.30,27.10,5.56,0.78
2bwx,48.5406,13.1255,13.1255,4.42286,0.720867,48.70,12.70,12.50,4.42,0.72
2bwy,28.1308,27.8917,27.8917,5.59879,0.779494,27.70,27.50,27.30,5.59,0.78
2c4a,15.0234,15.0234,15.0234,2.76556,0.553592,14.90,14.90,14.90,2.84,0.57
2c4h,31.0856,8.15455,8.15455,4.09392,0.698439,30.70,8.10,8.10,4.09,0.70
2c4l,14.9121,14.9121,14.9121,2.74591,0.550398,14.70,14.70,14.70,2.83,0.57
2c58,32.3355,8.18088,8.18088,4.22179,0.707573,32.50,7.90,7.90,4.21,0.71
2c79,7.98685,5.03827,5.03827,2.19528,0.437627,7.50,4.70,4.50,2.07,0.41
2cad,10.083,7.71895,7.71895,2.69688,0.542224,9.70,7.50,7.30,2.41,0.49
2caj,11.6528,9.27472,9.27472,2.74616,0.550439,11.10,8.70,8.70,2.47,0.50
2cek,31.2636,5.94616,5.94616,4.06951,0.69663,31.70,7.70,7.70,4.10,0.70
2cix,10.372,8.87184,5.56159,3.00138,0.588666,11.90,9.70,6.50,3.29,0.63
2ciy,11.8351,9.24838,5.52478,3.10106,0.601889,12.30,10.30,6.70,3.40,0.64
2ciz,10.4944,9.07018,5.70947,3.04888,0.595075,12.10,10.10,6.50,3.32,0.63
2dqm,23.6077,12.4144,12.4144,3.62879,0.659786,22.90,12.10,12.10,3.61,0.66
2ehq,8.77328,8.77328,6.34498,2.46742,0.499651,8.50,8.50,6.10,2.46,0.50
2ei7,6.83988,6.61336,6.61336,2.58555,0.522513,6.50,6.10,6.10,2.58,0.52
2eiw,8.59725,8.59725,5.68872,2.37818,0.480877,8.50,8.30,5.30,2.38,0.48
2ej6,8.69342,8.69342,5.91513,2.39721,0.484998,8.50,8.30,5.70,2.39,0.49
2ejl,8.69898,8.69898,6.0594,2.45269,0.496647,8.90,8.70,5.50,2.45,0.50
2ewm,2.62906,2.31477,2.31477,1.95977,0.370044,2.30,2.30,2.30,1.89,0.35
2f7i,8.34471,3.75477,2.55069,2.40427,0.486511,8.10,3.70,3.50,2.17,0.43
2f8i,8.60275,3.70681,2.47859,2.39636,0.484815,8.30,3.50,2.30,2.14,0.43
2f9c,12.4835,12.0442,12.0442,3.15118,0.608221,12.50,11.70,11.70,3.00,0.59
2fak,18.1138,15.0602,14.7359,3.8357,0.678137,17.70,14.90,14.70,3.84,0.68
2fe1,9.53178,3.86809,3.86809,2.52039,0.510169,9.10,3.70,3.70,2.06,0.40
2fh6,10.3845,10.3845,4.83148,2.78956,0.557433,10.10,7.90,4.50,2.38,0.48
2flc,10.34,6.59852,6.59852,2.90155,0.574514,9.70,6.50,6.50,2.90,0.59
2fy4,5.80447,5.1577,4.93818,2.55148,0.516137,5.50,5.10,4.50,2.46,0.50
2fy5,7.74171,5.32619,4.97148,2.63496,0.531465,6.30,5.30,4.70,2.49,0.51
2fzn,21.0515,12.3078,8.46003,3.79567,0.674743,20.70,12.10,8.30,2.85,0.57
2g06,23.9145,5.38235,5.38235,3.04704,0.594831,23.70,5.10,4.90,3.04,0.60
2g07,23.5957,4.99804,4.99803,3.05304,0.595626,23.30,4.70,4.70,3.05,0.60
2g08,24.0577,4.75795,4.75795,3.07082,0.597969,24.10,4.30,4.30,3.06,0.60
2g09,23.7156,5.31852,5.31852,3.02674,0.592113,23.70,4.90,4.70,3.02,0.59
2g0a,24.0234,5.0015,5.0015,3.06217,0.596832,23.70,4.70,4.30,3.05,0.60
2g2p,3.79417,3.79417,3.49767,2.25515,0.452556,3.70,3.30,3.30,2.21,0.44
2g5u,8.62337,3.06269,2.18863,2.42091,0.490039,8.30,3.10,2.90,2.18,0.44
2g94,7.93092,6.8698,6.8698,2.86954,0.569768,7.50,6.70,5.30,2.87,0.57
2g9k,8.60278,2.74779,2.34175,2.36201,0.477324,8.10,2.50,2.30,2.15,0.43
2gab,8.66362,3.7531,2.41344,2.49689,0.505557,8.30,3.30,2.30,2.23,0.45
